date,repo,clones,unique_clones
2025-05-10,AI-trip-planner,1,1
2025-05-17,AI-trip-planner,1,1
2025-05-05,AmruthaAmara1,5,5
2025-05-06,AmruthaAmara1,7,6
2025-05-07,AmruthaAmara1,5,4
2025-05-08,AmruthaAmara1,5,4
2025-05-09,AmruthaAmara1,4,4
2025-05-10,AmruthaAmara1,4,4
2025-05-11,AmruthaAmara1,3,3
2025-05-12,AmruthaAmara1,4,4
2025-05-13,AmruthaAmara1,3,3
2025-05-14,AmruthaAmara1,5,5
2025-05-15,AmruthaAmara1,4,4
2025-05-16,AmruthaAmara1,6,5
2025-05-17,AmruthaAmara1,7,6
2025-05-11,AmruthaAmara1.github.io,1,1
2025-05-18,AmruthaAmara1.github.io,1,1
2025-05-10,CourseEnrollmentPlatform,1,1
2025-05-17,CourseEnrollmentPlatform,1,1
2025-05-07,EasyNotes---Note-Taking-Application,1,1
2025-05-11,EasyNotes---Note-Taking-Application,1,1
2025-05-18,EasyNotes---Note-Taking-Application,1,1
2025-05-10,Foundational-Machine-Learning-Algorithms,1,1
2025-05-11,Foundational-Machine-Learning-Algorithms,1,1
2025-05-17,Foundational-Machine-Learning-Algorithms,1,1
2025-05-17,InventoryManagementSystem,1,1
2025-05-11,MERNBot,1,1
2025-05-18,MERNBot,1,1
2025-05-07,StockMarketDashboard,1,1
